Age,Generation,Gender,Income_kUSD,Occupation,Drinks_Per_Week,Social_Setting,Taste_Preference,Alcohol_Tolerance,Price_Sensitivity,Preferred_Drink,Support_Local_Store,Purchase_Frequency,Monthly_Spend_USD,Purchase_Channel,Drinking_Occasion,Brand_Loyalty,Access_Problems,Health_Score
22.0,Gen Z,Male,72.51,Other,,,Sweet,2.3,Medium,Cider,Maybe,Monthly,427.26,Online,Social,Medium,Expensive,3.8
44.0,Gen X,Female,,Other,5.0,Home,Neutral,1.27,Medium,Cocktails,Yes,Weekly,342.46,Offline,Stress Relief,Medium,Limited Variety,2.6
64.0,Baby Boomer,Female,34.45,Entrepreneur,5.0,Bar,Neutral,2.06,High,Cider,Yes,Weekly,223.76,Both,Celebration,Low,Limited Variety,2.0
50.0,,Male,64.57,Professional,1.0,Restaurant,Neutral,1.95,High,Cider,No,Monthly,358.0,Online,Social,Low,Expensive,5.0
58.0,Baby Boomer,,,,4.0,Other,Sweet,0.62,Medium,Cocktails,Yes,Weekly,921.92,Online,Daily Habit,Medium,Location,2.7
22.0,Gen Z,Male,70.55,,,Home,Bitter,1.66,Medium,Other,Yes,Monthly,691.13,Both,Stress Relief,Medium,Limited Variety,4.7
41.0,Gen X,,,Entrepreneur,,Bar,Sweet,0.76,Low,Wine,Yes,Monthly,140.5,Offline,Celebration,High,Limited Variety,3.9
53.0,Gen X,Female,46.81,Student,,Social Event,Salty,2.43,Medium,Cider,Maybe,Monthly,176.64,Both,Celebration,Medium,No Problems,3.2
32.0,Millennial,Female,68.9,Entrepreneur,3.0,Home,Sour,2.12,Low,Other,No,Weekly,833.71,Offline,Stress Relief,High,Limited Variety,2.9
42.0,Gen X,Female,45.47,Professional,2.0,Bar,Sour,0.72,Medium,Beer,Yes,Monthly,172.2,Both,Celebration,Medium,Expensive,4.1
64.0,Baby Boomer,,65.12,Student,2.0,Social Event,Salty,0.74,High,Other,Maybe,Monthly,360.24,Offline,Celebration,Low,Expensive,4.5
45.0,Gen X,Female,48.69,,2.0,Bar,Salty,1.69,Low,Cocktails,No,Monthly,396.77,Both,Celebration,High,No Problems,4.9
47.0,Gen X,Male,89.63,Other,2.0,Social Event,Sour,1.19,Medium,Other,Yes,Monthly,341.85,Both,Celebration,Medium,Expensive,4.1
62.0,Baby Boomer,Male,81.38,Other,0.0,Social Event,Bitter,0.57,Medium,Wine,No,Rarely,355.91,Offline,Celebration,Medium,Limited Variety,4.4
48.0,Gen X,Female,23.44,Entrepreneur,4.0,Social Event,Bitter,1.58,Low,Cocktails,Yes,Weekly,111.08,Online,Celebration,High,Location,3.1
36.0,Millennial,,60.44,Student,4.0,Bar,Bitter,1.28,Medium,Spirits,Yes,Weekly,413.15,Online,Celebration,Medium,Limited Variety,2.6
35.0,Millennial,Female,33.67,Retired,1.0,Social Event,Salty,0.7,Medium,Beer,No,Monthly,200.21,Online,Celebration,Medium,Expensive,4.7
64.0,Baby Boomer,Female,53.83,Student,3.0,Home,Sour,2.1,Low,Spirits,No,Weekly,183.49,Offline,Stress Relief,High,Location,3.0
23.0,Gen Z,Female,51.37,Other,0.0,Other,Sour,2.33,High,Other,No,Rarely,265.64,Online,Social,Low,Expensive,4.0
57.0,Baby Boomer,Female,28.89,Student,2.0,Other,Sour,2.01,High,Cider,Yes,Monthly,177.07,Offline,Social,Low,No Problems,4.7
27.0,Millennial,Male,71.17,Retired,0.0,Social Event,Sweet,2.14,Low,Other,Yes,Rarely,389.23,Offline,Celebration,High,Expensive,4.9
41.0,Gen X,Male,,Entrepreneur,3.0,Other,Sweet,0.93,Low,Cider,No,Weekly,420.91,Offline,Daily Habit,High,Limited Variety,3.5
29.0,Millennial,Male,44.31,Professional,2.0,Other,Neutral,1.03,Medium,Spirits,Maybe,Monthly,542.47,Offline,Social,Medium,Limited Variety,4.5
59.0,Baby Boomer,Male,41.24,,1.0,Social Event,Sweet,0.92,Medium,Spirits,Yes,Monthly,222.49,Online,Celebration,Medium,Limited Variety,5.0
38.0,Millennial,Female,52.8,Professional,0.0,Social Event,Bitter,2.03,Low,Cider,No,Rarely,176.74,Online,Celebration,High,Location,5.0
24.0,Gen Z,Female,58.16,Other,0.0,Home,Bitter,2.4,Low,Wine,Yes,Rarely,256.52,Online,Stress Relief,High,Limited Variety,5.0
45.0,Gen X,Male,47.5,Entrepreneur,4.0,Restaurant,Bitter,1.93,Medium,Beer,No,Weekly,575.49,Offline,Social,Medium,Expensive,3.2
34.0,Millennial,Male,-6.65,Entrepreneur,2.0,Bar,Bitter,2.26,High,Cocktails,Yes,Monthly,-42.18,Online,Celebration,Low,Location,3.9
29.0,Millennial,Female,50.34,Student,2.0,Social Event,Neutral,1.78,Medium,Spirits,No,Monthly,317.97,Online,Celebration,Medium,Limited Variety,4.0
46.0,Gen X,Male,21.17,Entrepreneur,3.0,Social Event,Bitter,1.28,Medium,Beer,Yes,Weekly,112.67,Offline,Celebration,Medium,Limited Variety,3.6
22.0,Gen Z,Female,45.81,Student,5.0,Other,Salty,1.35,High,Cocktails,Yes,Weekly,370.89,Both,Social,Low,Expensive,2.1
40.0,Millennial,Female,21.91,Student,3.0,Home,Salty,0.65,Medium,Other,Maybe,Weekly,82.15,Online,Stress Relief,Medium,Expensive,3.5
48.0,Gen X,Female,21.67,Professional,0.0,Other,Salty,0.56,Medium,Cocktails,Yes,Rarely,215.63,Offline,Daily Habit,Medium,Expensive,5.0
27.0,Millennial,Female,74.7,Entrepreneur,0.0,Social Event,Sweet,1.89,Medium,Spirits,No,Rarely,166.4,Offline,Celebration,Medium,Expensive,5.0
64.0,Baby Boomer,Female,43.6,Student,2.0,Social Event,Sour,1.38,High,Wine,No,Monthly,190.84,Offline,Celebration,Low,Limited Variety,4.2
28.0,Millennial,Male,42.07,Professional,2.0,Other,Neutral,1.6,Medium,Wine,No,Monthly,181.81,Both,Social,Medium,No Problems,3.3
55.0,Gen X,Female,59.65,Retired,2.0,Social Event,Salty,1.62,High,Beer,No,Monthly,577.56,Online,Celebration,Low,Expensive,4.6
34.0,Millennial,Female,42.59,Professional,3.0,Restaurant,Salty,1.05,Medium,Other,Maybe,Weekly,277.83,Online,Social,Medium,Limited Variety,4.1
37.0,Millennial,Male,92.08,Professional,0.0,Bar,Bitter,1.45,Medium,Beer,No,Rarely,712.93,Both,Celebration,Medium,Expensive,5.0
56.0,Gen X,Female,44.54,Student,0.0,Bar,Salty,1.44,Low,Cider,Yes,Rarely,131.96,Offline,Celebration,High,Limited Variety,5.0
60.0,Baby Boomer,Female,57.3,Other,3.0,Bar,Bitter,1.28,Medium,Wine,Yes,Weekly,498.02,Offline,Celebration,Medium,Expensive,3.4
24.0,Gen Z,Female,69.42,Other,2.0,Restaurant,Bitter,2.14,Medium,Beer,Yes,Monthly,282.97,Offline,Social,Medium,No Problems,4.4
22.0,Gen Z,Female,82.05,Other,3.0,Social Event,Sour,1.4,Low,Cider,Yes,Weekly,1813.03,Offline,Celebration,High,Location,3.1
26.0,Millennial,Female,35.16,Professional,1.0,Other,Sweet,1.71,Medium,Other,Maybe,Monthly,98.39,Both,Social,Medium,No Problems,5.0
62.0,Baby Boomer,Female,41.64,Student,3.0,Home,Bitter,2.29,Low,Cocktails,Yes,Weekly,367.54,Both,Stress Relief,High,No Problems,3.9
24.0,Gen Z,Female,75.49,Entrepreneur,3.0,Social Event,Bitter,2.23,High,Beer,No,Weekly,783.47,Both,Celebration,Low,Limited Variety,3.9
49.0,Gen X,Female,66.2,Professional,1.0,Restaurant,Sour,2.28,Low,Cider,Maybe,Monthly,412.58,Online,Social,High,Location,4.4
38.0,Millennial,Female,71.5,Professional,3.0,Restaurant,Bitter,1.04,High,Wine,Yes,Weekly,492.7,Both,Social,Low,Expensive,2.8
46.0,Gen X,Female,22.63,Student,4.0,Bar,Neutral,0.57,Medium,Cocktails,Maybe,Weekly,195.82,Online,Celebration,Medium,Limited Variety,3.4
64.0,Baby Boomer,Female,80.96,Retired,2.0,Social Event,Sweet,1.02,Low,Beer,Yes,Monthly,512.2,Offline,Celebration,High,No Problems,5.0
54.0,Gen X,Male,34.77,Professional,1.0,Bar,Neutral,1.06,Medium,Wine,No,Monthly,163.71,Both,Celebration,Medium,Expensive,4.9
30.0,Millennial,Female,53.85,Retired,4.0,Home,Salty,2.32,Low,Cocktails,Yes,Weekly,805.12,Online,Stress Relief,High,No Problems,2.6
56.0,Gen X,Female,47.04,Retired,1.0,Bar,Sweet,1.8,Medium,Spirits,No,Monthly,719.9,Online,Celebration,Medium,Limited Variety,3.7
34.0,Millennial,Male,32.43,Other,1.0,Home,Salty,0.66,Medium,Wine,No,Monthly,124.36,Online,Stress Relief,Medium,No Problems,4.5
51.0,Gen X,Female,21.75,Student,3.0,Restaurant,Bitter,0.77,Low,Spirits,Yes,Weekly,82.89,Both,Social,High,No Problems,4.1
35.0,Millennial,Male,15.12,Retired,1.0,Bar,Sour,0.81,High,Other,Yes,Monthly,73.31,Offline,Celebration,Low,Location,4.0
28.0,Millennial,Male,52.38,Student,4.0,Bar,Neutral,1.76,Low,Beer,No,Weekly,1756.76,Offline,Celebration,High,Location,3.8
34.0,Millennial,Female,19.49,Other,3.0,Other,Salty,1.97,Medium,Cider,No,Weekly,98.58,Online,Daily Habit,Medium,Limited Variety,3.8
43.0,Gen X,Male,27.32,Student,0.0,Restaurant,Bitter,2.22,Medium,Beer,No,Rarely,257.24,Both,Social,Medium,No Problems,5.0
60.0,Baby Boomer,Female,45.64,Professional,2.0,Other,Neutral,2.38,Medium,Wine,No,Monthly,653.59,Offline,Daily Habit,Medium,No Problems,3.8
41.0,Gen X,Female,-2.78,Retired,3.0,Home,Neutral,0.9,Medium,Spirits,Yes,Weekly,-15.93,Offline,Stress Relief,Medium,Location,3.3
36.0,Millennial,Female,65.58,Student,2.0,Home,Salty,1.12,Medium,Spirits,Yes,Monthly,539.48,Online,Stress Relief,Medium,Location,4.2
65.0,Baby Boomer,Male,1.8,Entrepreneur,1.0,Restaurant,Bitter,0.98,Medium,Cocktails,Yes,Monthly,20.59,Offline,Social,Medium,Location,4.9
38.0,Millennial,Male,48.45,Student,4.0,Home,Sour,1.22,Medium,Beer,No,Weekly,370.12,Both,Stress Relief,Medium,No Problems,2.7
44.0,Gen X,Female,50.3,Retired,1.0,Restaurant,Salty,2.33,Low,Beer,No,Monthly,230.23,Offline,Social,High,Location,4.1
46.0,Gen X,Other,60.76,Other,1.0,Home,Neutral,1.65,Medium,Wine,Yes,Monthly,230.2,Both,Stress Relief,Medium,No Problems,4.4
45.0,Gen X,Female,49.17,Other,0.0,Social Event,Neutral,1.98,Low,Spirits,Yes,Rarely,122.82,Offline,Celebration,High,Location,5.0
65.0,Baby Boomer,Male,90.36,Retired,3.0,Bar,Sweet,1.48,Low,Wine,Yes,Weekly,493.74,Offline,Celebration,High,Expensive,2.9
61.0,Baby Boomer,Female,54.33,Professional,0.0,Social Event,Bitter,0.56,Medium,Wine,Maybe,Rarely,122.24,Offline,Celebration,Medium,Limited Variety,5.0
49.0,Gen X,Female,71.07,Professional,2.0,Restaurant,Sweet,0.63,Medium,Other,No,Monthly,447.45,Offline,Social,Medium,Limited Variety,4.0
35.0,Millennial,Female,35.53,Other,1.0,Restaurant,Sour,1.58,Medium,Spirits,No,Monthly,122.52,Both,Social,Medium,Expensive,3.7
65.0,Baby Boomer,Male,52.42,Other,1.0,Social Event,Salty,1.94,Medium,Wine,No,Monthly,298.58,Offline,Celebration,Medium,Expensive,4.3
21.0,Gen Z,Female,80.95,Retired,2.0,Bar,Neutral,0.93,Medium,Spirits,Maybe,Monthly,230.15,Online,Celebration,Medium,Limited Variety,4.3
45.0,Gen X,Female,45.25,Professional,4.0,Bar,Bitter,1.94,Medium,Wine,Yes,Weekly,492.99,Offline,Celebration,Medium,Expensive,3.9
27.0,Millennial,Other,53.84,Other,4.0,Other,Neutral,2.12,Low,Cider,No,Weekly,754.18,Both,Celebration,High,Limited Variety,2.3
29.0,Millennial,Male,69.62,Professional,3.0,Home,Sweet,1.32,Medium,Wine,No,Weekly,194.23,Offline,Stress Relief,Medium,Location,2.1
44.0,Gen X,Female,35.16,Other,4.0,Other,Sweet,1.99,Medium,Wine,Maybe,Weekly,391.42,Online,Social,Medium,No Problems,2.3
21.0,Gen Z,Female,6.77,Student,1.0,Bar,Salty,1.31,Medium,Cider,No,Monthly,63.38,Offline,Celebration,Medium,Location,5.0
64.0,Baby Boomer,Male,55.11,Entrepreneur,2.0,Social Event,Bitter,1.86,Medium,Beer,Maybe,Monthly,186.3,Offline,Celebration,Medium,No Problems,3.1
28.0,Millennial,Female,69.77,Student,1.0,Home,Bitter,2.03,Medium,Spirits,No,Monthly,815.94,Online,Stress Relief,Medium,Location,5.0
44.0,Gen X,Female,22.97,Other,1.0,Social Event,Salty,2.48,Medium,Cocktails,Maybe,Monthly,143.53,Offline,Celebration,Medium,Expensive,5.0
31.0,Millennial,Male,63.4,Entrepreneur,4.0,Other,Sweet,1.19,Medium,Cider,Yes,Weekly,411.5,Both,Celebration,Medium,Location,3.1
37.0,Millennial,Male,63.54,Entrepreneur,2.0,Restaurant,Sweet,1.32,Medium,Beer,Yes,Monthly,382.46,Online,Social,Medium,Location,3.7
28.0,Millennial,Female,4.53,Other,0.0,Social Event,Sweet,0.83,Medium,Wine,Yes,Rarely,24.85,Online,Celebration,Medium,Limited Variety,5.0
55.0,Gen X,Male,31.27,Other,3.0,Other,Neutral,0.91,Low,Other,No,Weekly,245.55,Online,Celebration,High,Expensive,3.8
55.0,Gen X,Female,42.08,Professional,1.0,Other,Sour,1.89,Low,Beer,Yes,Monthly,279.16,Online,Daily Habit,High,Location,4.7
53.0,Gen X,Male,46.41,Other,2.0,Other,Sweet,2.33,Low,Cider,Maybe,Monthly,181.28,Both,Social,High,Expensive,4.9
25.0,Millennial,Female,35.14,Retired,2.0,Restaurant,Sour,1.29,Medium,Other,No,Monthly,236.72,Both,Social,Medium,Location,3.9
62.0,Baby Boomer,Male,34.06,Other,0.0,Restaurant,Sour,0.86,High,Wine,Yes,Rarely,69.69,Offline,Social,Low,Expensive,4.3
59.0,Baby Boomer,Female,83.43,Retired,2.0,Restaurant,Bitter,1.07,Medium,Beer,Maybe,Monthly,488.45,Offline,Social,Medium,Limited Variety,3.3
61.0,Baby Boomer,Other,47.85,Other,5.0,Home,Salty,1.41,Low,Cocktails,No,Weekly,343.42,Both,Stress Relief,High,Location,1.7
48.0,Gen X,Other,36.1,Professional,2.0,Restaurant,Neutral,1.08,Medium,Spirits,Yes,Monthly,154.68,Both,Social,Medium,Expensive,4.1
27.0,Millennial,Female,49.18,Retired,3.0,Restaurant,Sour,0.97,High,Spirits,Yes,Weekly,689.79,Online,Social,Low,Expensive,3.4
29.0,Millennial,Male,60.74,Student,0.0,Restaurant,Neutral,1.97,High,Cider,Yes,Rarely,434.9,Both,Social,Low,Location,5.0
28.0,Millennial,Female,51.03,Retired,2.0,Social Event,Bitter,0.52,Medium,Wine,Yes,Monthly,428.3,Online,Celebration,Medium,No Problems,3.7
32.0,Millennial,Male,45.89,Professional,1.0,Restaurant,Sweet,1.58,High,Wine,No,Monthly,134.69,Online,Social,Low,No Problems,3.9
54.0,Gen X,Male,37.0,Retired,3.0,Home,Sour,2.09,Low,Spirits,No,Weekly,238.78,Online,Stress Relief,High,Limited Variety,3.8
53.0,Gen X,Male,36.76,Other,2.0,Other,Salty,1.03,Low,Beer,No,Monthly,417.3,Offline,Social,High,Location,2.8
43.0,Gen X,Female,38.04,Other,1.0,Social Event,Bitter,1.71,Low,Wine,No,Monthly,206.92,Online,Celebration,High,Limited Variety,4.1
44.0,Gen X,Female,56.78,Professional,2.0,Bar,Neutral,1.84,Medium,Cocktails,No,Monthly,1120.69,Online,Celebration,Medium,Limited Variety,4.4
57.0,Baby Boomer,Female,30.12,Entrepreneur,1.0,Restaurant,Sweet,1.81,Low,Cocktails,Yes,Monthly,185.8,Offline,Social,High,Expensive,5.0
55.0,Gen X,Male,57.87,Other,2.0,Other,Neutral,1.39,Medium,Wine,No,Monthly,394.28,Both,Daily Habit,Medium,Limited Variety,4.2
64.0,Baby Boomer,Male,78.26,Student,5.0,Other,Salty,1.19,Medium,Wine,Yes,Weekly,756.22,Both,Celebration,Medium,Limited Variety,2.1
60.0,Baby Boomer,Other,56.51,Professional,3.0,Social Event,Sour,2.17,Medium,Spirits,No,Weekly,456.7,Offline,Celebration,Medium,Expensive,3.3
42.0,Gen X,Male,42.61,Retired,4.0,Bar,Salty,2.02,High,Cider,No,Weekly,364.56,Both,Celebration,Low,Location,3.3
47.0,Gen X,Male,24.04,Retired,2.0,Home,Neutral,1.14,Low,Spirits,Yes,Monthly,212.01,Both,Stress Relief,High,Location,3.4
55.0,Gen X,Male,81.56,Student,2.0,Other,Neutral,0.71,Medium,Cider,Yes,Monthly,814.47,Both,Daily Habit,Medium,Limited Variety,4.4
21.0,Gen Z,Female,26.6,Other,0.0,Other,Salty,0.64,Medium,Cocktails,Yes,Rarely,74.5,Online,Social,Medium,Expensive,5.0
55.0,Gen X,Female,66.97,Professional,2.0,Other,Salty,0.69,Low,Cider,Maybe,Monthly,213.04,Offline,Daily Habit,High,Limited Variety,4.6
57.0,Baby Boomer,Male,62.77,Student,1.0,Other,Salty,1.67,Medium,Spirits,No,Monthly,127.0,Both,Social,Medium,Limited Variety,4.6
34.0,Millennial,Male,45.26,Other,1.0,Social Event,Sweet,0.6,High,Wine,No,Monthly,295.68,Offline,Celebration,Low,Location,4.0
23.0,Gen Z,Female,44.74,Professional,2.0,Bar,Neutral,1.17,High,Cider,Yes,Monthly,159.5,Online,Celebration,Low,Expensive,4.9
21.0,Gen Z,Female,13.29,Retired,3.0,Other,Bitter,2.01,High,Spirits,Maybe,Weekly,34.24,Offline,Celebration,Low,Location,3.0
25.0,Millennial,Male,56.6,Professional,1.0,Home,Sweet,1.09,Medium,Cocktails,Maybe,Monthly,348.33,Offline,Stress Relief,Medium,No Problems,4.4
46.0,Gen X,Female,62.4,Entrepreneur,2.0,Home,Sweet,2.03,Medium,Other,Yes,Monthly,1343.34,Offline,Stress Relief,Medium,Expensive,4.5
34.0,Millennial,Male,28.22,Professional,1.0,Restaurant,Sweet,1.99,Low,Cider,Yes,Monthly,142.57,Online,Social,High,No Problems,3.6
59.0,Baby Boomer,Male,46.88,Entrepreneur,2.0,Other,Bitter,0.99,Low,Cocktails,Yes,Monthly,441.28,Offline,Social,High,Limited Variety,4.7
47.0,Gen X,Female,50.76,Professional,1.0,Other,Salty,1.96,Low,Cocktails,No,Monthly,267.97,Both,Celebration,High,Limited Variety,3.9
29.0,Millennial,Male,,Entrepreneur,1.0,Other,Neutral,2.0,Medium,Beer,Yes,Monthly,240.09,Both,Celebration,Medium,Limited Variety,4.3
35.0,Millennial,Female,50.08,Retired,3.0,Other,Sour,1.29,High,Other,Maybe,Weekly,599.45,Online,Social,Low,Expensive,3.6
35.0,Millennial,Male,17.47,Other,3.0,Other,Sour,0.92,Medium,Cider,No,Weekly,114.23,Both,Social,Medium,Expensive,1.0
46.0,Gen X,,39.4,Entrepreneur,1.0,Home,Neutral,1.54,Medium,Spirits,Maybe,Monthly,228.22,Offline,Stress Relief,Medium,Limited Variety,4.9
62.0,Baby Boomer,Other,54.49,Entrepreneur,0.0,,Bitter,2.34,Medium,Cider,No,Rarely,265.53,Offline,Celebration,Medium,Location,4.2
33.0,Millennial,Male,66.83,Retired,3.0,Bar,Sour,1.78,Medium,Cider,No,Weekly,361.75,Both,Celebration,Medium,No Problems,3.9
52.0,Gen X,Female,37.65,Entrepreneur,3.0,Restaurant,Sweet,0.85,High,Other,Yes,Weekly,467.41,Both,Social,Low,Location,3.9
59.0,Baby Boomer,Male,93.75,Student,3.0,Home,Sour,1.87,Low,Cocktails,Maybe,Weekly,649.37,Both,Stress Relief,High,Expensive,4.0
52.0,Gen X,Male,,Retired,0.0,Other,Neutral,1.35,Medium,Cocktails,Maybe,Rarely,141.54,Offline,Daily Habit,Medium,Location,4.2
24.0,Gen Z,Male,38.73,Student,0.0,Bar,Sweet,1.68,Medium,Cocktails,Yes,Rarely,210.13,Both,Celebration,Medium,Location,4.3
50.0,Gen X,Female,48.34,Retired,0.0,Social Event,Sour,1.97,Low,Cocktails,Yes,Rarely,127.98,Online,Celebration,High,No Problems,4.8
57.0,Baby Boomer,Male,45.99,Entrepreneur,4.0,Social Event,Neutral,1.53,Medium,Other,Maybe,Weekly,430.68,Offline,Celebration,Medium,No Problems,2.3
43.0,Gen X,Female,25.36,Student,1.0,Social Event,Bitter,2.13,High,Spirits,No,Monthly,127.93,Both,Celebration,Low,No Problems,3.6
59.0,Baby Boomer,Male,58.96,Entrepreneur,3.0,Other,Neutral,1.94,Low,Wine,Yes,Weekly,767.13,Offline,Social,High,Limited Variety,3.3
65.0,Baby Boomer,Other,57.42,Retired,0.0,Other,Bitter,1.73,Low,Beer,Yes,Rarely,302.05,Offline,Celebration,High,Location,5.0
35.0,Millennial,Male,50.96,Entrepreneur,0.0,Restaurant,Sweet,0.8,Low,Cocktails,No,Rarely,208.8,Both,Social,High,Limited Variety,5.0
63.0,Baby Boomer,Female,56.64,Student,4.0,Restaurant,Neutral,2.17,Medium,Cocktails,Yes,Weekly,787.17,Online,Social,Medium,No Problems,3.3
49.0,Gen X,Female,41.52,,1.0,Restaurant,Salty,2.37,Medium,Beer,Yes,Monthly,421.63,Online,Social,Medium,Expensive,5.0
56.0,Gen X,Female,17.65,Entrepreneur,2.0,Social Event,Salty,0.77,Medium,Cocktails,Maybe,Monthly,144.39,Both,Celebration,Medium,Expensive,4.0
33.0,Millennial,Female,35.67,Professional,4.0,Other,Salty,1.48,Medium,Wine,No,Weekly,331.07,Online,Celebration,Medium,Expensive,3.3
52.0,Gen X,Female,,Retired,1.0,Social Event,Salty,1.02,High,Cider,Yes,Monthly,130.91,Both,Celebration,Low,Location,4.4
27.0,Millennial,Female,53.25,Retired,0.0,Restaurant,Salty,2.01,Medium,Beer,No,Rarely,129.71,Online,Social,Medium,Limited Variety,5.0
42.0,Gen X,Male,50.83,Entrepreneur,1.0,Other,Bitter,1.94,High,Spirits,No,Monthly,221.12,Online,Daily Habit,Low,Limited Variety,4.2
48.0,Gen X,Male,60.97,Professional,2.0,Home,Neutral,0.78,High,Beer,Yes,Monthly,278.24,Both,Stress Relief,Low,No Problems,3.7
22.0,Gen Z,Female,38.38,Student,1.0,Bar,Sweet,2.25,Medium,Wine,No,Monthly,177.13,Offline,Celebration,Medium,No Problems,4.9
62.0,Baby Boomer,Female,50.53,Other,1.0,Bar,Salty,0.86,Medium,Other,Maybe,Monthly,263.42,Online,Celebration,Medium,Limited Variety,4.6
65.0,Baby Boomer,Female,61.44,Other,1.0,Restaurant,Salty,2.09,High,Spirits,No,Monthly,405.76,Offline,Social,Low,Expensive,4.3
26.0,Millennial,Female,48.3,Entrepreneur,3.0,Social Event,Sweet,1.41,High,Cider,No,Weekly,352.49,Offline,Celebration,Low,No Problems,4.0
48.0,Gen X,Male,25.13,Professional,1.0,Home,Sweet,1.16,Low,Cocktails,No,Monthly,162.42,Offline,Stress Relief,High,No Problems,4.5
48.0,Gen X,Male,30.77,Professional,1.0,Other,Salty,0.82,Low,Beer,Yes,Monthly,161.04,Offline,Social,High,Location,4.5
64.0,Baby Boomer,Female,66.62,Retired,3.0,Social Event,Bitter,0.84,High,Spirits,No,Weekly,187.56,Both,Celebration,Low,Location,3.6
64.0,Baby Boomer,Male,77.85,Student,1.0,Restaurant,Sweet,1.82,Low,Beer,Yes,Monthly,246.65,Both,Social,High,Limited Variety,3.6
40.0,Millennial,Male,73.51,Professional,2.0,Social Event,Neutral,1.6,High,Cider,Yes,Monthly,423.36,Both,Celebration,Low,No Problems,3.2
50.0,Gen X,Female,54.64,Other,0.0,Restaurant,Neutral,0.74,Medium,Beer,Yes,Rarely,123.81,Online,Social,Medium,Location,5.0
31.0,Millennial,Male,25.94,Student,1.0,Bar,Bitter,0.73,Low,Spirits,No,Monthly,177.43,Both,Celebration,High,Location,4.2
48.0,Gen X,Female,49.87,Student,3.0,Bar,Sour,0.64,Low,Wine,No,Weekly,810.49,Offline,Celebration,High,Expensive,3.4
45.0,Gen X,Male,81.25,Entrepreneur,1.0,Social Event,Bitter,1.99,Low,Other,Yes,Monthly,757.3,Offline,Celebration,High,No Problems,5.0
59.0,Baby Boomer,Female,62.37,Professional,4.0,Home,Salty,1.92,Low,Spirits,Maybe,Weekly,517.6,Offline,Stress Relief,High,Location,3.0
53.0,Gen X,Male,45.85,Entrepreneur,2.0,Other,Sour,0.62,Medium,Beer,Yes,Monthly,598.0,Both,Celebration,Medium,Expensive,3.9
21.0,Gen Z,Male,,Professional,0.0,Restaurant,Salty,1.62,Medium,Cider,No,Rarely,222.47,Both,Social,Medium,Location,5.0
47.0,Gen X,Male,24.61,Retired,4.0,Other,Neutral,0.67,High,Cocktails,Yes,Weekly,1665.537427482921,Online,Daily Habit,Low,Location,5.0
